D;E;F;G;BC;BD;BE;BF;BG;BH;BI;BJ;BK;CC;CB;CA;CD;CE;CF;CG;CY;CZ;DA;DB;DC;DD;DE;DF;DG;DH;HS;HT;HW;HX;IE;IF;IG;IH;JR;JS;JT;JU;JV;JW;JX;JY;JZ;KA;KB;KF;KG;KH;KI;KJ;KK;KL;KM;KN;KO;KX;KY;KZ;LA;LB;LQ;LR;LS;LT;LU;LV;LW;LX;LY;LZ;MA;MB;MC;MD;ME;MF;MG;MH;MI;MJ;MK;ML;MM;MN;MO;MP;MQ;MR;MS;MT;MU;MV;MW;MX;MY;MZ
-531;-512;-195;-317;-418,3;-447,3;3;49;-32;1;-11;-10;-12;-30;-18;-48;-42;-55;1;-17,1;9;5;-169;-236;26;8;-8;10;34;-2;-421;-33;-73;-6;-5;-7;5;10;-132;106;12;-23;-14;-50;-41;-111;-17;-11;-18;-1;-6;-1;-47;-104;-15;2;-7;3;1;1;11;6;-3;2;-1,4;0,5;-0,4;320;42;194;3339;176;-572;123;-130;-74;-33494;-997;-2801;-1711;-2659;-5599;-4515;-3295;-7287;-4510;-16068;-7876;-3148;-1791;2933;-1630;-1773;717;-1044;-2095;-72;12,0527;-10;9,6815
-55;-173;-90;-83;-433,2;-443,8;0;-2;-7;0;-3;1;-5;-28;-19;1;-7;-26;1,6;-18,9;-5;-4;-60;-42;-8;-11;10;-4;-18;-7;-101;-41;-13;-16;-1;-1;2;2;-46;15;13;-30;-7;3;2;-25;9;0;16;0;-2;0;-1;-1;2;0;-1;-4;-1;4;1;3;0;0;-2;1;0,4;65;30;-320;952;-232;-290;6;36;-44;-7692;-925;-85;-2950;170;-523;-2052;-1263;-857;615;-3698;29;-1556;-355;299;-212;-19;-851;707;-1811;-46;-3,3091;0;9,09
-33;-125;-66;-59;-415,2;-419,5;0;-5;1;0;3;-3;1;-14;7;-5;-5;-26;0,1;-20,8;-1;1;-60;-47;-4;-6;0;11;-4;-17;-107;5;1;3;-2;-3;-2;0;-19;43;13;14;11;18;14;-43;11;0;-20;-1;1;0;-4;-3;-7;-3;-6;-4;0;12;5;-5;0;0;-2,3;-4,1;-0,4;-2;1;34;872;-393;368;4;0;92;-11925;-825;-272;-769;-299;-1475;-1782;-2185;-984;-3093;-341;-290;-97;-681;1667;-872;-617;789;214;280;-21;41,1829;2;-7,0526
1350;937;492;445;-340,7;-353,9;-190;587;-97;-3;-36;-27;-31;-125;953;336;75;-206;-2,3;-21,7;-7;19;-37;-142;818;893;316;501;502;392;-1222;274;-198;-21;-23;-31;-15;1;-478;492;111;80;8;49;1;15;2;-21;-5;-1;-7;-8;-54;-104;8;39;-1;-40;-69;248;71;12;-3;-1;0,6;0,7;0,7;1323;935;-1088;12645;2497;-2213;1426;-174;-383;-49596;-2227;-4157;-3571;-5415;-8811;-10732;-4972;-2902;-6496;31402;134;8337;2091;10599;1051;-1098;5059;-239;5063;-474;42,8736;37;8,1962
-492;-696;-299;-397;-433,5;-458,6;-1;10;-33;-2;-26;-4;-1;-52;29;-41;-91;-83;0,8;-17,1;-2;-12;-218;-302;-17;-14;-3;35;-14;-49;-602;-48;-50;-23;-20;-15;-12;-5;-204;-108;-52;-126;-36;-70;-1;-203;3;-3;8;-1;-2;2;-20;-23;-26;2;-11;9;0;28;-16;-5;-4;4;-2,1;7,8;-0,5;171;177;-91;3850;-775;-358;63;224;25;-63285;-1550;-3762;-3017;-5257;-2602;-10357;-9659;-12856;-14269;-21607;-9573;918;-3936;1973;790;-1978;-4890;-3164;-2045;-76;5,7135;-6;2,7326
9;37;24;13;-383,4;-390,5;-4;52;-24;0;-18;-11;5;-10;35;8;-22;-35;-0,2;-19;-3;-11;-60;-98;116;123;62;79;54;44;-123;-70;-28;-32;-4;-4;5;12;-60;-77;-35;-81;-22;3;-6;-97;14;0;-23;-2;4;-2;-4;-43;5;7;-17;-11;0;46;16;-1;0;0;-3,6;0,9;-0,5;466;71;-164;2306;-643;748;81;19;-260;-20762;-2104;-4051;-2727;-672;-317;-867;-4143;-2957;-2663;-11092;-3476;97;-1800;-508;2002;-1684;-2864;-3468;609;-32;-33,4034;-21;7,0456
-250;-602;-281;-321;-410,8;-427;-1;5;-29;-3;-22;-2;-2;-68;43;-40;-48;-83;1,2;-18,1;-3;-4;-207;-231;-4;-19;-1;30;-3;-49;-422;-53;-10;-25;-10;-9;-3;-2;-187;-99;-7;-123;-22;-10;11;-211;-2;-10;-8;2;2;0;-3;0;20;5;-3;-6;5;1;6;-16;0;-3;-0,6;0,1;-0,1;210;256;300;3104;-877;390;-17;83;-46;-32668;-2071;-3136;-5467;-2547;-5594;-2870;-3230;-6475;-1273;-21544;-11324;118;-3523;-188;-85;-1938;-678;-3959;197;-55;-7,831;-20;4,306
-59;-104;-54;-50;-438,6;-458,9;0;5;-2;0;-2;-1;1;-21;7;9;-19;-9;2,4;-19;-4;3;-31;-35;-20;-5;-2;6;-18;-11;-125;-20;-3;-1;4;0;1;1;-16;12;6;18;5;3;3;-18;0;0;0;-1;1;0;4;-4;2;0;4;5;-2;5;-4;-2;0;-1;-2,1;-2,2;0,3;4;7;32;479;-291;286;-18;39;-35;-6128;-846;-1149;-776;-1282;7;-966;-641;-426;-360;-2851;-2634;-717;-330;73;455;-158;1144;-748;444;-17;23,8857;4;-10,3182
-273;-488;-232;-256;-408,7;-435,6;1;-26;-18;-2;-3;-1;-12;-25;24;-49;-15;-74;1,3;-18,1;-3;-4;-165;-142;-21;-13;-15;19;-6;-32;-323;-100;-26;6;-10;-15;0;-5;-156;-100;-66;-81;-51;-11;22;-62;-14;2;-20;0;1;0;-30;-39;8;-6;1;-19;-12;18;-2;0;0;0;-0,6;4,1;1,1;267;-17;-46;2117;326;-23;36;-48;-84;-32340;-1150;-5275;-2140;-4246;-2481;-1988;-4051;-6569;-3795;-4878;-2533;52;-153;-7442;3736;623;1794;1955;-2826;-35;-10,3848;-49;-1,0073
408;111;107;4;-354,5;-379;-96;25;-59;-6;-73;-1;21;-35;822;79;-111;-110;-0,2;-19,8;-12;-21;-551;-610;672;665;261;423;411;242;-1078;177;-245;-41;-66;-61;1;5;-12;237;-17;103;-17;-89;64;-248;-51;-4;-28;4;3;11;22;95;-26;1;1;12;153;165;17;35;0;12;0,2;3;2,9;1980;364;1227;15877;-1439;1474;1045;228;-1066;-126153;-6596;-14868;-17281;-16539;-13137;-15922;-7577;-14614;-18754;-49527;-38408;-1086;-3667;4341;1584;-10267;-703;-1554;1128;-524;-14,4081;11;5,1277
-28;-2;-22;20;-411;-420;6;-9;-3;1;-2;-10;8;-11;30;-14;-21;-15;0,9;-19;-7;-6;-89;-77;46;77;22;63;24;14;-74;-10;-12;-13;2;2;-1;2;25;5;11;10;3;-18;-1;-52;0;0;-8;1;-1;0;-11;-22;8;0;-4;5;1;10;-5;-1;0;0;3,5;-0,6;-0,8;352;20;132;1380;297;677;-16;36;-166;-24586;-1586;-1217;-3133;-1810;-2804;-4627;-1887;-4058;-2358;-11125;-3896;293;-2061;416;-953;-1429;-1471;-1498;-405;13;30,0081;2;6,637
-14;-130;-69;-61;-431,3;-452,9;2;-1;-11;0;-8;0;-3;-7;26;2;0;-35;0,2;-18;-1;-4;-64;-71;2;21;3;19;-1;2;-154;-13;-6;3;-1;-1;4;7;-15;27;20;3;12;19;30;-27;15;20;14;0;0;0;2;1;-7;-1;0;-5;2;16;7;5;0;0;-2,8;-1,8;2,3;85;7;42;1026;-489;526;38;31;-18;-13370;-928;-1680;245;-2203;-1739;-1495;-2735;-2031;-858;-3503;-2596;-279;-1399;1625;-696;165;444;-762;124;-16;33,4857;21;12,6143
129;-6;52;-58;-343,4;-345;1;-32;-33;-1;-22;-10;0;-44;188;50;37;-88;0,7;-21,7;1;-3;-116;-153;219;203;84;188;135;15;-372;-60;-105;-38;-16;-15;17;5;-191;158;51;92;42;-21;-53;-152;3;-13;-54;1;-1;1;-36;-3;-10;3;-28;-1;10;123;8;-21;-1;-3;-0,8;3,8;2,9;511;170;-262;4055;684;-144;-9;544;-72;-47089;57;-3080;-5538;-7467;-6143;-7805;-7135;-6610;-2557;-5391;-9262;642;-917;1357;3481;-387;-3658;1205;1916;-209;7,2173;-3;2,4872
-59;-124;-54;-70;-397,1;-425,2;-125;-23;-8;0;-6;-3;1;-10;17;-8;-18;-17;0,4;-20,8;-3;-1;-66;-73;23;5;12;15;11;-10;-138;25;-17;-3;-3;-2;0;-2;-39;-4;7;9;4;9;0;-31;0;0;-17;-1;0;0;0;-4;5;1;-1;2;1;1;0;0;0;0;3,4;5,8;3,6;-18;58;-1;1306;-1243;1290;5;-9;-30;264;-273;617;214;182;48;299;-383;870;-1229;-774;-933;-1068;-435;2046;-805;-540;713;929;-934;-20;-29,6387;-1;-0,4562
-22;-91;-42;-49;-421,4;-433,9;-2;2;2;2;3;-4;1;-25;12;17;2;-33;0,2;-18,1;-2;1;-44;-50;20;23;10;0;10;23;-99;-39;-11;-11;-3;-2;0;1;-62;13;1;-22;-8;18;0;-27;10;0;-8;1;-1;0;-6;9;7;1;4;-3;0;-5;-2;-6;0;0;-4,1;-1,4;-0,8;78;13;-14;1044;-526;281;52;31;-79;-4714;-246;-477;-1249;-524;158;-456;-1073;-899;-49;-3836;325;-240;-1021;-83;-244;-2747;991;-1500;799;-21;54,0457;-3;4,7717
-2051;-2193;-1071;-1122;-384,6;-420,8;-38;-334;-154;-12;-64;-66;-12;-340;667;-259;-207;-351;0,1;-17,2;-74;-83;-788;-1177;169;371;54;340;115;31;-1674;-428;-234;-72;-32;-45;-27;-26;-894;503;38;337;23;-335;128;-621;-84;41;-185;6;-3;-11;173;-294;-5;-3;-4;24;-26;234;-28;-58;0;1;-2,2;2,4;1,5;1591;159;-643;11257;12212;-10290;1520;-1032;-334;-222616;-9090;-18806;-27175;-26838;-15218;-26158;-27498;-36376;-33219;-128355;-29272;-25614;-24304;-7820;-12566;-9692;-13123;3581;-6655;-433;7,7572;-162;10,7211
-3036;-3742;-1736;-2006;-395,5;-421,4;-9;-269;-172;-7;-113;-59;7;-446;903;-320;-418;-577;0,6;-17,1;-66;-48;-1340;-1831;226;380;7;455;219;-75;-3725;-354;-367;-152;-60;-69;12;3;-1460;227;-130;-123;-116;-361;32;-799;-65;12;-246;3;-3;-13;23;-459;-55;-13;-11;-50;-22;232;-38;-99;29;23;0,3;2,5;1,5;5447;1299;-2116;28068;6017;-9477;3401;-1007;-1642;-328426;-19113;-23998;-21313;-28723;-32708;-42571;-42201;-50390;-67082;-77069;-51935;-20918;-8072;-5029;1302;-8379;-3658;16493;3070;-825;-42,1833;-120;8,8787
-324;-307;-144;-163;-435,7;-461,8;-222;10;-3;0;3;-5;-1;-23;26;-31;-8;-62;0,8;-18;-12;-1;-176;-211;47;37;17;56;30;-19;-300;49;-21;-3;-5;-3;3;-3;-45;-60;-16;-44;5;8;-3;-53;7;0;15;2;0;-3;7;-19;12;2;5;-1;6;39;-16;13;1;1;-2;3,2;2,7;187;70;-56;3820;-2494;1411;96;-48;-118;-15769;-50;-1657;-568;188;-1250;-2931;-3201;-1469;-5294;-10600;-3582;35;-956;-1177;-626;-702;-392;-1471;-1729;-28;17,6936;-10;1,6732
-104;-254;-113;-141;-377,7;-402,2;-305;12;-14;0;-4;0;-10;-39;36;55;-18;-71;2,3;-22,6;-8;-5;-126;-151;47;56;19;74;28;-18;-323;-47;-24;-9;0;9;2;3;-109;64;-4;68;14;-5;11;-30;-3;11;3;-1;1;0;-9;-11;-2;-4;3;3;3;17;-38;-28;0;0;4;-0,3;-0,3;99;-113;-8;3478;-2820;3213;77;-51;-393;-9797;-952;-1189;-1323;-405;-2694;-150;-909;-947;-741;-2412;584;-1143;-702;203;-357;-544;-1735;2805;-1447;-50;26,4191;2;-2,0138
-327;-616;-307;-309;-434,1;-466;0;-13;-18;2;-13;-2;-5;-35;27;-34;-80;-84;0,5;-17,2;-2;7;-187;-230;-39;-20;4;5;-43;-25;-452;-92;-11;-29;-11;-13;3;0;-180;6;-1;-66;-4;-71;-18;-184;-23;-11;-39;-3;0;0;-30;33;3;1;-8;-20;8;13;-2;7;0;1;-0,5;1,9;1,5;188;54;90;2867;-807;472;-369;78;50;-55431;-1696;-3609;-1624;-3242;-7619;-6978;-11394;-10244;-8659;-23080;-8720;-2768;-1506;-729;-3342;-3226;122;1454;-3664;-53;-64,4875;-17;17,7049
-58;-128;-45;-83;-471,1;-518;-1;-5;-9;0;-5;0;-4;-8;-21;-7;-12;-8;0,8;-16,3;-1;-2;-44;-74;15;0;6;7;9;-7;-128;29;-8;6;-3;-5;1;1;-33;-21;-10;-26;0;9;4;-27;17;0;-2;0;-1;0;-9;-9;2;-4;-1;-1;5;-1;-1;2;0;0;-1,8;-0,9;1,1;10;9;-5;991;-160;-342;2;-18;-31;-10703;0;-856;-61;-1085;-470;-1295;-2537;-1768;-2734;1803;-488;-540;359;899;-104;1308;9;-544;1043;-3;-188,2679;7;-1,102
0;-3;1;-4;-444,7;-497,6;-12;0;2;0;2;-1;1;-1;-1;-1;1;0;0,8;-17,1;0;0;-9;-17;7;11;13;10;-6;1;-2;9;1;4;-2;-1;0;0;5;-4;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;-2;2;0;0;0;0;0;-1,4;5,6;0;0;0;0;0;0;15;-3;-34;179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3005;2361;1130;1231;-361;-388,2;5;421;-174;-6;-99;-79;10;-514;3457;387;-211;-249;-0,7;-17,1;-32;-14;-970;-1283;2224;2540;1301;1984;923;556;-1982;465;-365;-84;-27;-29;13;5;-256;846;65;96;57;-392;199;-616;-166;-18;-172;2;1;-13;-123;395;-116;18;-11;52;488;421;85;-43;6;16;0,3;3,1;2,9;5762;1322;3327;34217;10792;-6759;3424;465;1089;-407741;-28154;-45422;-53443;-24019;-41339;-42444;-67748;-52752;-49537;-158620;-91310;-9548;-19499;-12917;7946;-27737;-6715;12880;-8806;-771;28,72;-7;6,7868
-227;-164;-99;-65;-409,1;-444,4;2;-8;2;1;-2;1;2;-18;30;-14;-5;-31;0,2;-19,9;3;-3;-84;-66;26;22;5;27;21;-5;-163;45;-2;-1;-4;-3;-4;0;-64;65;4;-19;-12;12;6;-25;-1;0;2;0;-2;0;1;1;3;-1;2;-4;7;22;22;1;-1;1;-0,7;0,8;1,7;28;43;229;1886;-867;-169;27;99;-240;-12095;-1331;-74;-1074;-1334;-871;-1430;-1218;-1457;-3723;-1371;-811;806;-1904;82;324;-1658;1820;653;-1180;-21;23,4389;13;11,81
-588;-1056;-546;-510;-400,7;-423,7;5;-9;-54;-2;-26;-23;-3;-85;269;-55;-105;-187;0,5;-18,9;-1;8;-369;-475;-20;60;13;56;-33;4;-985;-92;-54;-56;-12;-10;2;16;-277;168;-22;42;-8;-80;24;-269;-16;5;-42;1;0;0;-24;-50;-11;2;-8;-8;-32;17;0;-2;-3;5;1,4;0,9;0,2;1258;261;1299;9871;-317;1497;514;1426;184;-93353;-5629;-6941;-7244;-7786;-7696;-13548;-9911;-17305;-16497;-37423;-12895;-3897;-7422;576;-4534;-4228;-1616;-2273;-1018;-220;5,5688;35;9,3661
19;54;36;18;-461;-499,7;3;-2;-1;0;-5;2;2;9;19;20;-11;3;0,2;-17,1;1;-2;-20;-27;50;35;22;21;28;14;11;-15;5;-2;-3;-3;3;0;1;-9;-5;-15;-7;-11;0;-15;0;0;0;0;1;-1;-2;-12;3;0;5;0;0;-1;0;0;0;0;0,3;-0,6;3,8;60;5;59;478;-51;-81;44;28;-6;-1386;0;-364;631;-677;-644;-715;-320;-752;367;-850;-382;-1353;-785;0;-766;134;1473;-515;0;4;-129,4;-4;-0,185
-342;-554;-295;-259;-396,9;-416,9;6;76;-38;2;-21;-11;-8;-71;103;113;-132;-116;-0,1;-19;-28;0;-266;-304;74;98;45;72;29;26;-752;-98;-60;-17;-20;-19;-7;-6;-244;33;1;-62;-21;-76;-4;-254;32;15;2;-3;-5;-1;-118;22;-19;-3;8;-5;16;75;-3;-10;0;3;-0,8;-1,4;-3;586;25;339;6180;-2700;2525;-26;171;-670;-114363;-5375;-10001;-10397;-10387;-10763;-13824;-21580;-18709;-11600;-42020;-13193;-5879;-3521;1830;768;-3548;-9278;-5425;-3705;-158;10,6353;-22;-0,9676
-61;-66;-29;-37;-424,8;-447,6;0;13;0;1;0;0;-1;-5;-2;-4;1;-12;1;-18,9;0;0;-36;-26;5;-5;-1;1;6;-6;-66;4;-8;0;-7;-5;-2;1;-9;30;7;-17;-9;-5;-3;-19;0;0;0;0;0;0;-3;-2;-4;0;1;-3;-1;6;-3;-2;0;0;0,1;3;2,2;4;3;7;668;-509;258;11;26;-2;-3814;0;-91;150;-627;284;-1008;-906;-1409;-541;-1729;-430;-544;661;-322;-352;655;-1598;-623;-15;-22;9,8667;0;-0,2273
-179;-236;-121;-115;-396,5;-413,9;0;8;-17;-1;-13;-2;-1;-37;59;-1;-18;-53;0;-19;-3;2;-85;-99;17;36;-4;16;21;20;-275;-32;-17;-9;4;4;-4;-1;-115;-25;-3;-15;2;43;10;46;18;1;19;-2;1;0;-13;58;0;-1;-4;-5;-2;-23;8;2;-1;-1;6,9;0,3;0,5;145;34;-19;1797;-271;713;58;6;-69;-10395;230;146;-862;-1170;-2200;-3278;-2557;-561;179;-5021;-3204;222;-1061;-279;1493;1723;-2992;634;-1838;-62;67,0781;26;12,7967
-8;-82;-15;-67;-378,5;-412,9;0;0;-8;1;-6;-2;-1;-11;11;23;-14;-22;0;-20,8;-5;-5;-7;-43;19;6;5;4;14;2;-144;24;-15;-5;-2;2;-7;-6;-42;-58;-45;-51;-24;15;9;-54;15;0;-21;1;0;0;-6;-28;12;0;6;-12;3;33;13;8;-1;-1;-2,9;-0,6;0,5;70;13;65;1197;-466;60;25;21;-22;-6956;-196;405;29;-1074;-491;-343;-1671;-828;-2732;-7752;177;-1617;-850;-208;-802;-1668;-716;-2044;362;-38;61,3329;8;23,9846
0;-18;-11;-7;-428,7;-469,4;-29;-19;-1;0;0;0;-1;0;2;-6;-2;0;-0,8;-18,1;0;-2;-12;-17;12;15;-3;6;15;9;-4;-6;-1;-1;-1;-1;0;1;-18;-17;-8;-5;-2;0;0;-10;0;0;0;0;0;0;1;-1;0;0;0;2;0;0;-2;-1;0;0;0;-1,3;12,6;0;0;0;0;0;0;15;1;-18;-218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1191;1080;975;105;-370,8;-403,1;62;997;-206;-14;-99;-80;-13;-166;3085;-108;-221;-239;-0,6;-17,2;33;-9;-804;-1574;1820;1931;739;1288;1081;643;-1925;86;-403;-25;-142;-135;-20;-32;-356;1098;298;-8;-27;502;487;606;155;79;167;1;10;-57;-210;1142;97;33;20;-68;60;393;17;-81;-9;-5;2,4;2,2;1,7;7567;716;4166;34627;24088;-17031;4764;2154;-552;-443778;-19753;-47710;-55166;-45719;-36357;-62598;-49544;-70447;-53965;-15084;-36846;-2671;3217;4004;6361;-16199;22977;18704;-13015;-607;18,3611;61;7,9236
-25;-73;-4;-69;-362,5;-385;-8;24;-8;0;-3;-4;-1;-21;68;-19;-48;12;1;-20,8;0;-11;-83;-95;87;61;45;50;42;11;-176;23;-57;-8;-18;-11;-11;-5;-26;38;3;-3;2;-7;8;-99;-5;0;-28;-2;1;-1;-11;-15;-2;2;6;0;-5;44;9;-7;0;0;0,4;1,1;0,3;371;137;334;3197;-610;-116;132;127;-292;-21527;-751;-836;-2567;-1483;-2631;-5538;-3585;-3428;-559;-3480;-3624;-1813;-76;-1835;1944;844;150;-498;1540;-111;16,3244;9;14,1479
107;68;93;-25;-381,2;-408,1;2;256;-22;0;-21;1;-2;6;109;5;-21;5;-0,4;-19;7;0;-24;-127;145;121;28;55;117;66;-37;-41;-18;-42;12;12;-6;3;-46;-1;-20;-59;-8;-63;-4;-125;-18;0;-18;1;-2;-1;-13;-67;-5;0;-14;-5;2;67;-11;-3;-1;0;0,1;0,9;0,7;137;51;472;3132;-1013;1064;156;86;-123;-24594;-24;49;-1250;-2314;-3331;-3465;-3465;-3370;-7199;-5362;-2339;-2753;-761;1338;1069;-801;-508;-213;-656;-88;-3,3374;14;6,7987
-65;-168;-84;-84;-412;-430,5;-99;-1;-6;-2;-3;-2;1;-26;-18;-19;-12;-18;2,2;-19;3;-2;-54;-88;4;-3;4;3;0;-6;-95;3;-11;5;2;1;10;6;-32;23;34;-56;-5;0;-2;-45;23;0;8;1;-2;0;-3;-8;2;0;1;-4;-3;1;0;0;0;0;-4,7;1,5;0,9;37;-29;-110;932;-589;653;31;-25;-35;-4369;0;-1053;-1841;910;267;-2011;-871;81;-376;-7786;-1012;-502;-4443;2936;-1116;239;-63;-1452;-2199;-11;8,7215;-4;-2,9699
-339;-497;-245;-252;-398,3;-417,4;-3;-11;-29;-1;-19;-12;3;-15;37;28;-86;-59;0,4;-18;-6;0;-191;-261;29;72;20;61;9;11;-380;-45;-26;-4;-10;-13;-1;-4;-176;-68;-49;-52;-37;-30;-1;-278;-16;-4;-76;0;2;0;-62;1;-47;2;-3;5;20;37;0;8;0;-1;-0,4;1,8;1,6;63;61;160;3464;-1034;315;-9;-57;-104;-37086;-2578;-1682;-6748;-2997;-2630;-6292;-3982;-3975;-6350;-42341;-9054;-2348;-5847;-1474;-4782;-3200;-3569;-3289;-8831;-63;29,7878;-12;6,9512
-206;-219;-64;-155;-430,8;-445,2;-6;27;-24;-1;-11;-9;-3;1;6;-9;-34;-19;0,6;-19,8;-1;1;-65;-75;-14;-49;-14;4;0;-53;-183;-22;-19;-8;2;-2;4;-1;-33;-2;-29;-53;-31;2;2;-25;0;0;-3;0;0;0;-1;-3;9;-2;-1;4;0;7;2;4;0;0;-2,8;-5,6;-0,6;61;97;162;1626;-1085;510;0;89;-244;-9836;-475;-839;-354;-630;-1716;-1353;-2851;-684;-906;-3612;-1310;-508;80;-384;-1248;382;-1451;20;258;-35;30,1333;9;8,7314
261;-241;39;-280;-371,8;-405;8;55;-168;-6;-76;-61;-25;-186;1651;115;-233;-301;-0,9;-17,1;-3;-23;-973;-1195;1309;1229;614;890;695;339;-1967;-55;-288;-134;-44;-60;-16;-13;-682;907;-18;494;-24;-124;81;-143;-54;0;-35;-3;-5;-7;58;214;-10;-15;-41;94;40;267;-30;-37;0;-10;0,1;1,2;2,6;3354;533;474;22657;2796;-4846;2224;436;-805;-250114;-7507;-25945;-38185;-24385;-23963;-35528;-24455;-40781;-26588;-71612;-45524;-10965;-11203;14324;-7981;-13405;18585;-4804;-11128;-551;10,2356;-78;7,0846
96;-331;-147;-184;-366,7;-393,9;1;-16;-66;-1;-39;-24;-2;-61;128;47;-63;-83;0,4;-20,8;-6;-12;-158;-166;122;94;30;61;92;33;-500;-46;-103;-50;-7;-11;0;-3;-174;194;46;148;47;10;18;-62;-3;2;4;0;-4;-8;-22;-20;-7;-6;-5;16;15;82;-1;5;-5;6;-0,7;1;1,5;127;217;953;6501;-1809;-1108;182;113;-1073;-39912;-1493;-6490;-5176;-4299;-3879;-5426;-3923;-4138;-4392;-14995;-5711;-3733;-2413;-960;-674;-1110;-27;-536;223;-95;5,6859;4;4,8212
222;38;32;6;-349,1;-366,5;2;10;-45;-4;-9;-17;-15;-55;203;55;-53;-33;0,9;-21,6;-1;-13;-183;-229;211;240;72;136;139;104;-340;-38;-147;-77;-14;-10;7;0;50;112;53;-30;-7;34;35;-81;14;15;25;0;-2;-1;-112;-22;-70;-7;4;-14;-2;114;27;20;0;3;-1,1;0,6;1,4;323;141;-48;5056;975;-289;227;48;34;-79999;-2593;-5240;-14685;-9595;-4626;-14986;-6407;-11710;-9586;-26261;-13243;-2547;-2755;-694;1292;-2575;2041;-2701;-5003;-319;10,8675;6;5,4891
-43;-102;-62;-40;-397;-403,1;1;3;-12;0;-5;-2;-5;-3;32;-15;29;-49;0,7;-19,8;-4;-1;-81;-39;27;17;16;9;11;8;-113;-33;-18;-11;-1;-4;3;1;-20;63;32;15;8;9;2;-20;12;0;15;0;-1;0;7;4;4;0;3;-1;4;18;3;-2;0;0;-1,3;-1,7;1,7;114;33;26;1317;-446;82;57;13;-67;-10124;57;39;-590;-1270;-2669;-691;-1890;-2191;-919;-3114;-1949;-1464;-1260;347;1185;-902;368;511;148;-11;1,5777;17;11,6512
104;62;20;42;-360,1;-358;46;17;-5;0;-5;0;0;2;26;-7;7;-1;3,1;-21,6;-7;-10;-56;-39;40;74;49;85;-9;-11;45;-29;3;-14;2;4;-3;-4;17;50;16;14;0;-6;0;-4;-11;0;-4;0;-1;0;5;0;-1;0;0;0;2;0;0;0;0;0;0;5,1;-0,1;0;0;0;0;0;0;53;-9;-94;142;0;0;0;0;-186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2,6898
1029;987;413;574;-331,9;-346,4;7;36;-48;-2;-29;5;-22;-36;487;177;96;-34;-1,6;-21,6;-8;-16;-134;-165;555;708;279;464;276;244;-307;161;-201;5;-25;-25;22;6;79;220;5;32;-17;127;77;33;47;8;39;2;-3;3;-11;-7;-25;-4;-3;-10;4;153;16;-11;1;1;0,1;2,5;1,9;986;329;352;6452;2316;-2400;664;493;-123;-64885;-1972;-3650;-5870;-7903;-8204;-10864;-8902;-9154;-9677;-14517;-7912;2510;-1957;1312;-307;-6282;-2745;2678;-1766;-285;14,5173;36;8,7937
-212;-499;-250;-249;-415,2;-438,3;2;16;-10;-1;0;-2;-7;-60;5;-2;-16;-109;2,4;-18;-8;3;-194;-186;22;2;-7;48;29;-46;-545;-75;-30;5;9;2;4;8;-172;16;13;-20;27;-19;-16;-186;7;0;-24;-2;-2;0;-45;14;-10;-1;5;6;0;23;1;-33;0;9;-1,7;-0,3;0;26;91;120;3325;-591;706;129;-27;-144;-48521;-1126;-1937;-4861;-6718;-4349;-6119;-5327;-8623;-8918;-17317;-6448;-4100;-3176;72;2039;-3595;-1863;-29;-261;-47;13,5445;-23;5,3627
-27;-79;-22;-57;-421,8;-426,9;0;-1;-2;0;0;0;-2;-1;1;2;-14;-10;1,1;-19,9;1;-1;-26;-30;6;-7;1;-4;5;-3;-60;11;-7;0;-4;-5;1;1;-21;-2;8;-25;-4;-12;-13;-20;0;0;-5;0;1;0;0;-3;3;0;0;0;0;-3;-5;3;0;1;0,9;-1;2,9;-19;7;-22;328;-189;222;-8;21;-24;-1065;0;0;-503;136;-388;540;-1078;-195;-60;-1457;-95;-588;-1208;0;0;704;-578;-995;732;-13;-97,9314;-6;9,6025
-633;-888;-408;-480;-445,5;-473,6;0;-4;-28;-5;-15;-14;6;-89;-9;-147;-58;-97;1,1;-16,3;10;-2;-333;-389;22;-13;4;8;18;-21;-503;-114;-41;-34;-9;-8;-13;-7;-272;-85;-71;-154;-26;-255;-100;-430;-87;-22;-108;-3;0;-7;6;-2;-19;-1;25;-2;1;25;-2;4;-3;0;-4,1;-0,4;0,1;95;163;-309;3228;540;-428;-171;15;20;-42955;-830;-3281;-1880;-1604;-1897;-6209;-6589;-10749;-9919;-45949;-11079;1539;-7512;-1487;-6001;-6006;-2619;-5852;-5668;-79;-5,6846;2;8,806
959;731;360;371;-354,2;-368;29;34;-33;0;-14;-12;-7;-51;299;265;48;-48;-1,3;-21,6;3;-6;-124;-179;537;571;229;355;308;216;-525;261;-107;-13;7;2;6;6;-34;57;10;36;22;-47;14;-133;-27;1;-57;0;0;0;-6;-2;10;-2;0;3;0;98;-3;-5;0;-7;-0,7;1,2;1,7;1072;120;367;6376;1704;-1802;811;137;209;-47136;-1177;-2060;-5330;-2211;-10286;-7301;-5705;-6353;-5552;-24479;-4851;-4585;-3312;1289;-717;-7677;-2252;-195;-2123;-246;-52,9346;-7;-0,68
